library_name,library_type,segment_variant,region,city,email,phone,address,website,source_url,source_date,in_greece,subject_variant,sent_date,replied,outcome,notes
Δημοτική Βιβλιοθήκη Φιλοθέης-Ψυχικού,public,B,Αττική,Στρατηγού Καλλάρη  Ψυχικό,vivliothiki@philothei-psychiko.gov.gr,2106724307,Στρατηγού Καλλάρη 13 Ψυχικό 154 52,,https://network.nlg.gr/library/dimotiki-vivliothiki-filotheis-psichikou/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Χαϊδαρίου,public,B,Αττική,Στρατ. Καραϊσκάκη και Παύλου Μελά (έναντι αριθμού ),haidarilibrary@gmail.com,2105821574,Στρατ. Καραϊσκάκη και Παύλου Μελά (έναντι αριθμού 9),,https://network.nlg.gr/library/dimotiki-vivliothiki-chaidariou/,2026-08-21,yes,1,,,,
Δημοτική Παιδική Βιβλιοθήκη Αθήνας,community,B,Αττική,Δομοκού,vivlio.paidiki@opanda.gr,210 8810884,"Δομοκού 2, Αθήνα 104 40, Ελλάδα",https://www.opanda.gr,https://network.nlg.gr/library/paidiki-vivliothiki-o-p-n-dimoy-athinaion-stathmoy-larisis/,2026-08-21,yes,1,,,,
Εθνική Βιβλιοθήκη της Ελλάδος,public,B,Αττική,Λεωφ. Ανδρέα Συγγρού,nlg@nlg.gr,2130 999 700,"Λεωφ. Ανδρέα Συγγρού 364, Καλλιθέα 176 74",,https://network.nlg.gr/library/ethniki-vivliothiki-tis-ellados/,2026-08-21,yes,1,,,,
Καποδιστριακή Δημόσια Βιβλιοθήκη Αίγινας,public,B,Αττική,Κυβερνείου,vivlaigi@sch.gr,"22970 22626, 22970 29033","Κυβερνείου 6, Αίγινα 18010",https://aeginalibrary.gr/site/,https://network.nlg.gr/library/dimosia-vivliothiki-aiginas/,2026-08-21,yes,1,,,,
Κεντρική Δημοτική Βιβλιοθήκη Οργανισμού Πολιτισμού Αθλητισμού και Νεολαίας Δήμου Αθηναίων (Ο.Π.Α.Ν.Δ.Α.),public,B,Αττική,Δομοκού  Αθήνα  (Σταθμός Λαρίσης),publibrath@yahoo.gr,2108236635 210 88.46.011,Δομοκού 2 Αθήνα 10440 (Σταθμός Λαρίσης),http://www.opanda.gr/?page_id=1299,https://network.nlg.gr/library/kentriki-dimotiki-vivliothiki-organismou-politismou-athlitismou-ke-neoleas-dimou-athineon-o-p-a-n-d-a/,2026-08-21,yes,1,,,,
Οργανισμός Άθλησης και Πολιτισμού Δήμου Κορυδαλλού - Βιβλιοθήκη,public,B,Αττική,Κορυδαλλός,library@korydallos.gr,2104965784,"Γρ. Λαμπράκη και Καρυταίνης, Κορυδαλλός 181 20",,https://network.nlg.gr/library/organismos-%ce%84athlisis-ke-politismou-dimou-koridallou-vivliothiki/,2026-08-21,yes,1,,,,
"Παιδική Βιβλιοθήκη ""Μίμης Βασιλόπουλος"" Δήμου Χαλανδρίου",public,B,Αττική,Αβέρωφ και Σόλωνος Χαλάνδρι,mvaslib@otenet.gr,2106801654,"Παλαιολόγου, Αβέρωφ και Σόλωνος Χαλάνδρι 152 32",http://vivliothikihalandriou.blogspot.gr,https://network.nlg.gr/library/pediki-vivliothiki-mimis-vasilopoulos-dimou-chalandriou/,2026-08-21,yes,1,,,,
Παιδική Δανειστική Βιβλιοθήκη του Δικτύου για τα Δικαιώματα του Παιδιού,community,B,Αττική,Αλκαμένους β,diktio@ddp.gr,2108846590,"Αλκαμένους 11β, Σταθμός Λαρίσης, Αθήνα 104 39, Ελλάδα",http://www.ddp.gr,https://network.nlg.gr/library/pediki-danistiki-vivliothiki-tou-diktiou-gia-ta-dikeomata-tou-pediou/,2026-08-21,yes,1,,,,
Παιδική-Εφηβική Βιβλιοθήκη Δήμου Αθηναίων,public,B,Αττική,Αμπελόκηποι Αθήνα,paidikilibrary@gmail.com,2106929736,"Λάμψα & Τριφυλίας, Αμπελόκηποι Αθήνα 11524",http://www.opanda.gr/?page_id=7923,https://network.nlg.gr/library/pediki-efiviki-opan-dimou-athineon/,2026-08-21,yes,1,,,,
"Δημοτική Βιβλιοθήκη Μυτιλήνης ""Ευγενία Κλειδαρά""",public,B,Βόρειο Αιγαίο,Κιόσκι Μυτιλήνη,dimotikivivliothikimitilinis@gmail.com,22510 45434,"Δοϊράνης & Γιαννιτσών, Κιόσκι Μυτιλήνη 811 00",,https://network.nlg.gr/library/dimotiki-vivliothiki-mytilinis-quot-eygenia-kleidara-quot/,2026-08-21,yes,1,,,,
"Δημοτική Βιβλιοθήκη Πλωμαρίου ""Ευγενία Κλειδαρά""",public,B,Βόρειο Αιγαίο,Πλωμάρι Λέσβου Τ.Κ.,plomari.library@gmail.com,"22520 31410, 6972010104",Πλωμάρι Λέσβου Τ.Κ. 81200,,https://network.nlg.gr/library/dimotiki-vivliothiki-plomarioy-quot-eygenia-kleidara-quot/,2026-08-21,yes,1,,,,
"Δημόσια Κεντρική Ιστορική Βιβλιοθήκη Χίου ""Κοραής""",public,B,Βόρειο Αιγαίο,Κοραή,info@koraeslibrary.gr,2271044246,"Κοραή 2, Χίος",,https://network.nlg.gr/library/dimosia-kentriki-istoriki-vivliothiki-chiou-korais/,2026-08-21,yes,1,,,,
Βάλβειος Δημοτική Βιβλιοθήκη,public,B,Δυτική Ελλάδα,Καψάλη,balbeioslibrary@gmail.com,2631056903,"Καψάλη 18, Mesolongi 302 00, (Βυρώνειο Κτίριο-Πλώσταινα), Ελλάδα",,https://network.nlg.gr/library/valvios-dimotiki-vivliothiki/,2026-08-21,yes,1,,,,
"Δημοτική Βιβλιοθήκη Αιγίου ""Γεώργιος Παναγόπουλος""",public,B,Δυτική Ελλάδα,Βασιλέως Κωσταντίνου  Αίγιο,bpan@aigialeia.gov.gr,2691023959,Βασιλέως Κωσταντίνου 76 Αίγιο 25100,,https://network.nlg.gr/library/dimotiki-vivliothiki-egiou-georgios-panagopoulos/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Ακράτας-Πολιτιστικού Συλλόγου Αναγέννησης,public,B,Δυτική Ελλάδα,Πλατεία Ελευθερίας Ακράτα Αιγιάλειας,vakratas@aigialeia.gov.gr,2696360300,Πλατεία Ελευθερίας Ακράτα Αιγιάλειας 25006,,https://network.nlg.gr/library/dimotiki-vivliothiki-akratas-politistikou-sillogou-anagennisis/,2026-08-21,yes,1,,,,
"Δημοτική Βιβλιοθήκη Αμφιλοχίας ""Π. Κόκκαλη""",public,B,Δυτική Ελλάδα,πίσω από τον Ιερό Nαό Αγίας Παρασκευής,dibiblioamfil@1257.syzefxis.gov.gr,"26420 23427, 26423 60330","Θεοδώρου Χαβίνη, πίσω από τον Ιερό Nαό Αγίας Παρασκευής, Αμφιλοχία Αιτωλοακαρνανίας, Τ.Κ. 30500",,https://network.nlg.gr/library/dimotiki-vivliothiki-amfilochias/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Γαστούνης Δήμου Πηνειού,public,B,Δυτική Ελλάδα,Γεωργίου Σισίνη Γαστούνη,librarygastouni@gmail.com,2623360760,Γεωργίου Σισίνη Γαστούνη 27300,,https://network.nlg.gr/library/dimotiki-vivliothiki-gastounis-dimou-piniou/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Λεχαινών,public,B,Δυτική Ελλάδα,Πολυτεχνείου,liblexenon@gmail.com,2623023110,"Πολυτεχνείου 12, Λεχαινά Ηλείας, 27053",https://ofbl.gr/,https://network.nlg.gr/library/dimotiki-vivliothiki-lechainon/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Πατρών,public,B,Δυτική Ελλάδα,Μαιζώνος,library@patras.gr,2610277751,"Μαιζώνος 110, Πάτρα 262 21, Ελλάδα",http://patraslibrary.weebly.com,https://network.nlg.gr/library/dimotiki-vivliothiki-patron/,2026-08-21,yes,1,,,,
Δημόσια Ιστορική Βιβλιοθήκη Ανδρίτσαινας,public,B,Δυτική Ελλάδα,Ανδρίτσαινα Ηλεία,mail@vivl-andrits.ilei.sch.gr,2626022242,Ανδρίτσαινα Ηλεία 27061,http://www.andritsainalibrary.gr,https://network.nlg.gr/library/dimosia-istoriki-vivliothiki-andritsenas/,2026-08-21,yes,1,,,,
Δημόσια Κεντρική Βιβλιοθήκη Πύργου,public,B,Δυτική Ελλάδα,Γερμανού και Μυρτίλου Πύργος,mail@vivl-pyrgou.ilei.sch.gr,2621022762,Γερμανού και Μυρτίλου Πύργος 27131,http://vivliothiki-pirgou.gr/,https://network.nlg.gr/library/dimosia-kentriki-vivliothiki-pirgou/,2026-08-21,yes,1,,,,
Παπαστράτειος Δημοτική Βιβλιοθήκη Αγρινίου,public,B,Δυτική Ελλάδα,Αγρίνιο,vivliothiki@agrinio.gr,26410 22393,"Τέρμα Παπαστράτου και Βάρναλη, Αγρίνιο 30131",http://papastrateioslibrary.blogspot.gr/,https://network.nlg.gr/library/papastratios-dimotiki-vivliothiki-agriniou/,2026-08-21,yes,1,,,,
Παπαχαραλάμπειος Δημόσια Κεντρική Βιβλιοθήκη Ναυπάκτου,public,B,Δυτική Ελλάδα,Κοζώνη  Ναύπακτος,pvivlnafpaktos@gmail.com,2634027388,Κοζώνη 7 Ναύπακτος 30300,http://vivl-nafpakt.ait.sch.gr,https://network.nlg.gr/library/papacharalampios-dimosia-kentriki-vivliothiki-nafpaktou/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Καστοριάς,public,B,Δυτική Μακεδονία,Καραβαγγέλη  Καστοριά,bibliothiki@kastoria.gov.gr,2467028195,Καραβαγγέλη 23 Καστοριά 52100,,https://network.nlg.gr/library/dimotiki-vivliothiki-kastorias-athanasios-christopoulos/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Πρεσπών,public,B,Δυτική Μακεδονία,Λαιμός Πρεσπών  Φλώρινα,prespa.library@gmail.com,2385052015,Λαιμός Πρεσπών 53150 Φλώρινα,http://www.prespes.gr/prespa/,https://network.nlg.gr/library/dimotiki-vivliothiki-prespon/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Πτολεμαΐδας,public,B,Δυτική Μακεδονία,Διαδόχου Παύλου  Πτολεμαΐδα,ptolib@otenet.gr,2463021154,Διαδόχου Παύλου 20 Πτολεμαΐδα 50200,,https://network.nlg.gr/library/dimotiki-vivliothiki-ptolema%ce%90das/,2026-08-21,yes,1,,,,
Δημοτική Παιδική και Εφηβική Βιβλιοθήκη Βελβεντού,community,B,Δυτική Μακεδονία,Κοζάνη,pevvelventou@gmail.com,24640 32563,"Βελβεντού, Κοζάνη 501 00, Ελλάδα",,https://network.nlg.gr/library/dimotiki-pediki-ke-efiviki-vivliothiki-velventou/,2026-08-21,yes,1,,,,
Δημόσια Κεντρική Βιβλιοθήκη Γρεβενών,public,B,Δυτική Μακεδονία,ης Οκτωβρίου  Γρεβενά,grevlibr@otenet.gr,2462023056,13ης Οκτωβρίου 27 Γρεβενά 51100,http://grevlibr.gr/,https://network.nlg.gr/library/dimosia-kentriki-vivliothiki-grevenon/,2026-08-21,yes,1,,,,
"Δημόσια Κεντρική Βιβλιοθήκη Φλώρινας ""Βασιλική Πιτόσκα""",public,B,Δυτική Μακεδονία,Αργυροκάστρου,biblflor@otenet.gr,2385023118,"Αργυροκάστρου 9, Φλώρινα 53100",https://libflorina.wordpress.com,https://network.nlg.gr/library/dimosia-kentriki-vivliothiki-florinas-vasiliki-pitoska/,2026-08-21,yes,1,,,,
"Δημόσια Κεντρική Ιστορική Βιβλιοθήκη Σιάτιστας ""Μανούσεια""",public,B,Δυτική Μακεδονία,Πλατεία Τσιστοπούλου  Σιάτιστα,vivlsiatista@sch.gr,2465021261,Πλατεία Τσιστοπούλου 3 Σιάτιστα 50300,http://www.siatistabibl.gr/,https://network.nlg.gr/library/dimosia-kentriki-istoriki-vivliothiki-siatistas-manousia/,2026-08-21,yes,1,,,,
Κοβεντάρειος Δημοτική Βιβλιοθήκη Κοζάνης,public,B,Δυτική Μακεδονία,Κωνσταντίνου Δαβάκη,protocollodpang@cityofkozani.gov.gr,24610 49319,"Κωνσταντίνου Δαβάκη 9, 50132, Κοζάνη, ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ",http://www.kozlib.gr/kozlib_new/,https://network.nlg.gr/library/koventarios-dimotiki-vivliothiki-kozanis/,2026-08-21,yes,1,,,excluded:general-inbox,"general/protocol inbox of the parent body, not the library — do not send; re-source from the library itself"
Βιβλιοθήκη Νέας Αγχιάλου Μαγνησίας,public,B,Θεσσαλία,Kasneti,library.nanchialos@gmail.com,24280 78181,"Kasneti 86, Nea Agchialos 374 00, Greece",https://doepap.gr/building/vivliothiki-neas-agchialou/,https://network.nlg.gr/library/vivliothiki-neas-agchialoy-magnisias/,2026-08-21,yes,1,,,,
Βιβλιοθήκη Νέας Ιωνίας Βόλου,public,B,Θεσσαλία,Nea Ionia,library.nionia@gmail.com,24210 91077,"Anapafseos & Karampatzaki, Nea Ionia 384 46, Greece",https://doepap.gr/building/vivliothiki-neas-ionias/,https://network.nlg.gr/library/vivliothiki-neas-ionias-voloy/,2026-08-21,yes,1,,,,
Βιβλιοθήκη Πνευματικού Κέντρο Δήμου Καρδίτσας,public,B,Θεσσαλία,Αρτεσιανού,karditsalibrary@yahoo.gr,2441350898,"Αρτεσιανού 1, Καρδίτσα 431 00",,https://network.nlg.gr/library/vivliothiki-pnevmatikou-kentro-d-karditsas/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Αμπελακίων,public,B,Θεσσαλία,Αμπελάκια Λάρισα,rapsanilibrary@yahoo.gr,2495061259,Αμπελάκια Λάρισα 40006,,https://network.nlg.gr/library/dimotiki-vivliothiki-ampelakion/,2026-08-21,yes,1,,,,shared mailbox — represents 3 libraries in this network; send once
Δημοτική Βιβλιοθήκη Αμπελώνα,public,B,Θεσσαλία,ης Μαρτίου και Γρηγορίου Λαμπράκη Αμπελώνας,libampelona@tirnavos.gr,"2492033317, 2492305006",25ης Μαρτίου και Γρηγορίου Λαμπράκη Αμπελώνας 40400,http://librariestirnavos.gr,https://network.nlg.gr/library/dimotiki-vivliothiki-ampelona/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Ελασσόνας,public,B,Θεσσαλία,Δημάρχου Χρ. Βλαχοδήμου,bibliothiki@dimoselassonas.gr,2493029532,"Δημάρχου Χρ. Βλαχοδήμου 1, 40200",https://library.dimoselassonas.gr/,https://network.nlg.gr/library/dimotiki-vivliothiki-elassonas/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Λάρισας,public,B,Θεσσαλία,Ρούσβελτ,edimovivlio@larissa.gov.gr,"2410671173, 2410618753","Ρούσβελτ 59, Λάρισα 412 22, Ελλάδα",,https://network.nlg.gr/library/dimotiki-vivliothiki-larisas/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Νίκαιας Κιλελέρ,public,B,Θεσσαλία,Εθνάρχου Μακαρίου  Νίκαια Κιλελέρ,biblio@kileler.gov.gr,2410922633,Εθνάρχου Μακαρίου 3 Νίκαια Κιλελέρ 41005,http://libkileler.gr/,https://network.nlg.gr/library/dimotiki-vivliothiki-nikeas/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Ραψάνης Δήμου Τεμπών,public,B,Θεσσαλία,Ραψάνη Λάρισα,rapsanilibrary@yahoo.gr,2495061259,Ραψάνη Λάρισα 40007,http://libraryrapsani.blogspot.gr,https://network.nlg.gr/library/dimotiki-vivliothiki-rapsanis-d-tempon/,2026-08-21,yes,1,,,duplicate-of:109,shares rapsanilibrary@yahoo.gr with row 109 — already covered by that send
Δημοτική Βιβλιοθήκη Σοφάδων,public,B,Θεσσαλία,Σοφάδες,sofaditisa@yahoo.gr,2443353305,"Αγίου Γεωργίου και Πλαστήρα, Σοφάδες 433 00, Ελλάδα",https://sofades.gr/vivliothikh/,https://network.nlg.gr/library/dimotiki-vivliothiki-sofadon/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Συκουρίου,public,B,Θεσσαλία,Μακρυγιάννη,rapsanilibrary@yahoo.gr,2495061259,"Μακρυγιάννη 10, Συκούριο 400 06, Ν. Λάρισας, Ελλάδα",,https://network.nlg.gr/library/dimotiki-vivliothiki-sikouriou/,2026-08-21,yes,1,,,duplicate-of:109,shares rapsanilibrary@yahoo.gr with row 109 — already covered by that send
Δημοτική Βιβλιοθήκη Τρικάλων,public,B,Θεσσαλία,Γαριβάλδη  (κτίριο Πνευματικού Κέντρου του Δήμου Τρικκαίων) Τρίκαλα,library@trikalacity.gr,"2431353563, -564, -565",Γαριβάλδη 8 (κτίριο Πνευματικού Κέντρου του Δήμου Τρικκαίων) Τρίκαλα 42131,https://librarytrikala.wordpress.com/,https://network.nlg.gr/library/dimotiki-vivliothiki-trikalon/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Τυρνάβου,public,B,Θεσσαλία,Τύρναβος,libtirnavou@tirnavos.gr,2492305008,"Τύρναβος 401 00, Ελλάδα, Παλαίο Δημαρχείο, Εθνικής Αντίστασης Πλατεία Μανδηλαρά 1",http://librariestirnavos.gr,https://network.nlg.gr/library/dimotiki-vivliothiki-tirnavou/,2026-08-21,yes,1,,,,
Δημόσια Βιβλιοθήκη Μηλεών «Ψυχής Άκος»,public,B,Θεσσαλία,Μηλιές Πηλίου,mail@vivl-mileon.mag.sch.gr,2423086260,"ΤΚ 370 10, Μηλιές Πηλίου",http://vivl-mileon.mag.sch.gr/,http://vivl-mileon.mag.sch.gr/comunicate.html,2026-08-21,yes,1,,,,
Δημόσια Βιβλιοθήκη Μουζακίου,public,B,Θεσσαλία,Μουζάκι Καρδίτσας Μουζάκι,vivliomo@otenet.gr,2445041152,Μουζάκι Καρδίτσας Μουζάκι 43060,http://vivl-mouzak.kar.sch.gr,https://network.nlg.gr/library/dimosia-vivliothiki-mouzakiou/,2026-08-21,yes,1,,,,
Δημόσια Ιστορική Βιβλιοθήκη Ζαγοράς,public,B,Θεσσαλία,Μαγνησία,mail@vivl-zagor.mag.sch.gr,2426022591,"Πλατεία Αγ. Γεωργίου Ζαγορά, Μαγνησία, Τ.Κ. 370 01, ΘΕΣΣΑΛΙΑ",http://www.library-zagora.gr/,https://network.nlg.gr/library/dimosia-istoriki-vivliothiki-zagoras/,2026-08-21,yes,1,,,,
Δημόσια Κεντρική Βιβλιοθήκη Λάρισας «Κωνσταντίνος Κούμας»,public,B,Θεσσαλία,ης Οκτωβρίου  Λάρισα,dkblkk@otenet.gr,2410531973,28ης Οκτωβρίου 9 Λάρισα 41223,http://vivl-laris.lar.sch.gr/,https://network.nlg.gr/library/dimosia-kentriki-vivliothiki-larisas-konstantinos-koumas/,2026-08-21,yes,1,,,,
Κεντρική Βιβλιοθήκη Δήμου Βόλου,public,B,Θεσσαλία,Mikrasiaton,voloslibrary@volos-city.gr,"2421039644, 2421021664","Mikrasiaton 81, Volos 383 33, Greece",http://www.diki.gr/,https://network.nlg.gr/library/kentriki-vivliothiki-dimoy-voloy/,2026-08-21,yes,1,,,,
Κοινοτική - Λαϊκή Βιβλιοθήκη Καλλιθήρου,public,B,Θεσσαλία,Καλλίθηρο,seklizalib@gmail.com,,"Καλλίθηρο 431 00, Ελλάδα",http://hub.futurelibrary.gr/network/KoinotikheVivliothhekeKallithheroy,https://network.nlg.gr/library/kinotiki-laiki-vivliothiki-kallithirou/,2026-08-21,yes,1,,,,
"Παιδική Βιβλιοθήκη ""Στέκι Παιδιού"" του ΔΗΜΟΥ ΒΟΛΟΥ",public,B,Θεσσαλία,Περραιβού  και Πολυμέρη T.K.,library@stekipaidiou.gr,2421031456,"Περραιβού 11 και Πολυμέρη T.K. 38221, Βόλος",http://stekipaidiou.blogspot.gr,https://network.nlg.gr/library/pediki-vivliothiki-steki-pediou/,2026-08-21,yes,1,,,,
Παιδική Βιβλιοθήκη Δημοτικού Διαμερίσματος “Αρτεσιανού” Δήμου Καρδίτσας,community,B,Θεσσαλία,Αρτεσιανό,paidikesbibliothikes@yahoo.gr,2441071346,"Αρτεσιανό 431 00, Ελλάδα",,https://network.nlg.gr/library/pediki-vivliothiki-dimotikou-diamerismatos-artesianou-d-o-p-a-karditsas/,2026-08-21,yes,1,,,,shared mailbox — represents 11 libraries in this network; send once
Παιδική Βιβλιοθήκη Δημοτικού Διαμερίσματος “Καρδιτσομαγούλας” Δήμου Καρδίτσας,community,B,Θεσσαλία,Καρδιτσομάγουλα Καρδίτσας,paidikesbibliothikes@yahoo.gr,2441071346,Καρδιτσομάγουλα Καρδίτσας 43100,,https://network.nlg.gr/library/pediki-vivliothiki-dimotikou-diamerismatos-karditsomagoulas-d-o-p-a-karditsas/,2026-08-21,yes,1,,,duplicate-of:126,shares paidikesbibliothikes@yahoo.gr with row 126 — already covered by that send
Παιδική Βιβλιοθήκη Δημοτικού Διαμερίσματος “Παλαιοκκλησίου” Δήμου Καρδίτσας,community,B,Θεσσαλία,Παλαιοκκλήσι Καρδίτσας,paidikesbibliothikes@yahoo.gr,2441071346,Παλαιοκκλήσι Καρδίτσας 43100,,https://network.nlg.gr/library/pediki-vivliothiki-dimotikou-diamerismatos-paleokklisiou-d-o-p-a-karditsas/,2026-08-21,yes,1,,,duplicate-of:126,shares paidikesbibliothikes@yahoo.gr with row 126 — already covered by that send
Παιδική Βιβλιοθήκη ΚΔΑΠ Νεάπολης Δήμου Βόλου,public,B,Θεσσαλία,Νεαπόλεως,libneapolis@volos-city.gr,2421064336,"Νεαπόλεως 76, Νεάπολη Βόλου, Τ.Κ. 38334, Περιφέρεια Θεσσαλίας",http://www.kdap.gr,https://network.nlg.gr/library/pediki-vivliothiki-kdap-neapolis/,2026-08-21,yes,1,,,,
Παιδική Βιβλιοθήκη συνοικίας “Αγίας Παρασκευής” Δήμου Καρδίτσας,community,B,Θεσσαλία,Δραγατσανίου και Ευζώνων Καρδίτσα,paidikesbibliothikes@yahoo.gr,2441071346,Δραγατσανίου και Ευζώνων Καρδίτσα 43100,,https://network.nlg.gr/library/pediki-vivliothiki-sinikias-agias-paraskevis-d-o-p-a-karditsas/,2026-08-21,yes,1,,,duplicate-of:126,shares paidikesbibliothikes@yahoo.gr with row 126 — already covered by that send
Παιδική Βιβλιοθήκη συνοικίας “Αγίου Γεωργίου” Δήμου Καρδίτσας,community,B,Θεσσαλία,Καρδίτσα,paidikesbibliothikes@yahoo.gr,2441071346,"Σαμαρόπουλου, Καρδίτσα 431 00, Ελλάδα",http://www.dimoskarditsas.gov.gr/,https://network.nlg.gr/library/pediki-vivliothiki-synikias-agiou-georgiou-d-o-p-karditsas/,2026-08-21,yes,1,,,duplicate-of:126,shares paidikesbibliothikes@yahoo.gr with row 126 — already covered by that send
Παιδική Βιβλιοθήκη συνοικίας “Αγίου Νικολάου” Δήμου Καρδίτσας,community,B,Θεσσαλία,Παναγίας Πελεκητής Καρδίτσα,paidikesbibliothikes@yahoo.gr,2441071346,Παναγίας Πελεκητής Καρδίτσα 43100,,https://network.nlg.gr/library/pediki-vivliothiki-sinikias-agiou-nikolaou-d-o-p-a-karditsas/,2026-08-21,yes,1,,,duplicate-of:126,shares paidikesbibliothikes@yahoo.gr with row 126 — already covered by that send
Παιδική Βιβλιοθήκη συνοικίας “Αγίου Φανουρίου” Δήμου Καρδίτσας,community,B,Θεσσαλία,Σκιάθου  Εργατικά Αγίου Φανουρίου Καρδίτσα,paidikesbibliothikes@yahoo.gr,2441071346,Σκιάθου 3 Εργατικά Αγίου Φανουρίου Καρδίτσα 43100,,https://network.nlg.gr/library/pediki-vivliothiki-sinikias-agiou-fanouriou-d-o-p-a-karditsas/,2026-08-21,yes,1,,,duplicate-of:126,shares paidikesbibliothikes@yahoo.gr with row 126 — already covered by that send
Παιδική Βιβλιοθήκη συνοικίας “Λάκας Μαντζάρα” Δήμου Καρδίτσας,community,B,Θεσσαλία,Λαχανά και Ιθάκης Καρδίτσα,paidikesbibliothikes@yahoo.gr,2441071346,Λαχανά και Ιθάκης Καρδίτσα 43100,,https://network.nlg.gr/library/pediki-vivliothiki-sinikias-lakas-mantzara-d-o-p-a-karditsas/,2026-08-21,yes,1,,,duplicate-of:126,shares paidikesbibliothikes@yahoo.gr with row 126 — already covered by that send
Παιδική Βιβλιοθήκη συνοικίας “Σεισμόπληκτα Καμινάδων” Δήμου Καρδίτσας,public,B,Θεσσαλία,Αισώπου  Καρδίτσα,paidikesbibliothikes@yahoo.gr,2441071346,Αισώπου 1 Καρδίτσα 43100,http://www.dimoskarditsas.gov.gr/?page_id=7611,https://network.nlg.gr/library/pediki-vivliothiki-sinikias-sismoplikta-kaminadon/,2026-08-21,yes,1,,,duplicate-of:126,shares paidikesbibliothikes@yahoo.gr with row 126 — already covered by that send
Παιδική Βιβλιοθήκη “Αγγελική Βαρελλά” Δήμου Καρδίτσας,community,B,Θεσσαλία,Κώστα Βέλη  Καρδίτσα,paidikesbibliothikes@yahoo.gr,2441071346,Κώστα Βέλη 18 Καρδίτσα 43100,http://www.dimoskarditsas.gov.gr/?page_id=7611,https://network.nlg.gr/library/pediki-vivliothiki-angeliki-varella/,2026-08-21,yes,1,,,duplicate-of:126,shares paidikesbibliothikes@yahoo.gr with row 126 — already covered by that send
Παιδική Βιβλιοθήκη “Παυσιλύπου” Δήμου Καρδίτσας,community,B,Θεσσαλία,Καρδίτσα,paidikesbibliothikes@yahoo.gr,2441071346,"Γαρδικίου & Λάμπρου Σακελλαρίου, Καρδίτσα 43100",,https://network.nlg.gr/library/pediki-vivliothiki-pafsilipou-d-o-p-a-karditsas/,2026-08-21,yes,1,,,duplicate-of:126,shares paidikesbibliothikes@yahoo.gr with row 126 — already covered by that send
Δημόσια Βιβλιοθήκη Λευκάδας,public,B,Ιόνια Νησιά,Πάνου Ροντογιάννη,vivllefk@sch.gr,26450 22502,"Πάνου Ροντογιάννη 11, Lefkada 311 00, Greece",https://www.lefkaslibrary.gr/,https://network.nlg.gr/library/dimosia-vivliothiki-leykadas/,2026-08-21,yes,1,,,,
Δημόσια Ιστορική Βιβλιοθήκη Ζακύνθου,public,B,Ιόνια Νησιά,Πλατεία Δ.Σολωμού  Ζάκυνθος,mail@vivl-zakynth.zak.sch.gr,26950-48128,Πλατεία Δ.Σολωμού 4 Ζάκυνθος 29100,http://vivl-zakynth.zak.sch.gr/,https://network.nlg.gr/library/dimosia-istoriki-vivliothiki-zakynthou/,2026-08-21,yes,1,,,,
Δημόσια Κεντρική Βιβλιοθήκη Ληξουρίου,public,B,Ιόνια Νησιά,Πάροδος Αβλίχου Ληξούρι Κεφαλονιάς T.K.,mail@vivl-lixour.kef.sch.gr,2671091325,Πάροδος Αβλίχου Ληξούρι Κεφαλονιάς T.K. 28200,,https://network.nlg.gr/library/dimosia-kentriki-vivliothiki-lixouriou/,2026-08-21,yes,1,,,,
Δημόσια Κεντρική Ιστορική Βιβλιοθήκη Κερκύρας,public,B,Ιόνια Νησιά,Αγγλικοί Στρατώνες Παλαιό Φρούριο Κέρκυρα,plicorfu@gmail.com,2661038583,Αγγλικοί Στρατώνες Παλαιό Φρούριο Κέρκυρα 49100,http://www.corfulibrary.gr/el/,https://network.nlg.gr/library/dimosia-kentriki-istoriki-vivliothiki-kerkiras/,2026-08-21,yes,1,,,,
Κοργιαλένειος Βιβλιοθήκη Αργοστολίου,public,B,Ιόνια Νησιά,Ηλία Ζερβού,vivlarg@sch.gr,26710 22583,"Ηλία Ζερβού 12, Αργοστόλι, 28100",,https://network.nlg.gr/library/korgialenios-vivliothiki-argostoliou/,2026-08-21,yes,1,,,,
